product_name @ features @ price @ link
Πολυμηχάνημα Epson Workforce Pro WF3720DWF Έγχρωμο Inkjet A4EPSON@Εγγύηση:  12 μήνες-Κατασκευαστής: EPSON-Ανάλυση Εκτύπωσης (ΑΜ): 4800 x 2400 dpi-Ανάλυση Έγχρωμης Εκτ.: 4800 x 2400 dpi@129@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-epson-workforce-pro-wf3720dwf-eghromo-inkjet-a4/prod8832477pp/
Πολυμηχάνημα Samsung Laser SLM2070W  Ασπρόμαυρο  Laser A4SAMSUNG@Εγγύηση:  12 μήνες-Κατασκευαστής: SAMSUNG-Διπλή Όψη: Χειροκίνητη-Σάρωση: 4800 x 4800 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 1200 x 1200 dpi-Δίκτυο: Όχι-Ανάλυση Έγχρωμης Εκτ.: Όχι@149@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-samsung-laser-slm2070w-aspromayro-laser-a4/prod5360899pp/
Πολυμηχάνημα HP Inktank WL415 All in One Έγχρωμο Inkjet Α4HP@Εγγύηση:  24 μήνες-Κατασκευαστής: HP-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Χειροκίνητη-Σάρωση: Μη διαθέσιμη πληροφορία-Ανάλυση Εκτύπωσης (ΑΜ): Έως 1200 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: Έως 4800 x 1200 dpi@149@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-hp-inktank-wl415-all-in-one-eghromo-inkjet-a4/prod9000753pp/
Πολυμηχάνημα Samsung Laser SLM2070F  Ασπρόμαυρο  Laser A4SAMSUNG@Εγγύηση:  12 μήνες-Κατασκευαστής: SAMSUNG-Διπλή Όψη: Χειροκίνητη-Σάρωση: 4800 x 4800 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 1200 x 1200 dpi-Δίκτυο: Όχι-Ανάλυση Έγχρωμης Εκτ.: Όχι@149@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-samsung-laser-slm2070f-aspromayro-laser-a4/prod5363729pp/
Πολυμηχάνημα Samsung Laser SLM2675F  Ασπρόμαυρο  Laser A4SAMSUNG@Εγγύηση:  36 μήνες-Κατασκευαστής: SAMSUNG-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Χειροκίνητη-Σάρωση: 4800 x 4800 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 4800 x 600 dpi-Δίκτυο: Όχι-Ανάλυση Έγχρωμης Εκτ.: Όχι@149@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-samsung-laser-slm2675f-aspromayro-laser-a4/prod4780043pp/
Πολυμηχάνημα HP LaserJet Pro MFP M130fn Ασπρόμαυρο  Laser Α4HP@-Κατασκευαστής: HP-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Χειροκίνητη-Σάρωση: 600 x 600 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 600 dpi x 600 dpi-Ανάλυση Έγχρωμης Εκτ.: Όχι@159,01@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-hp-laserjet-pro-mfp-m130fn-aspromayro-laser-a4/prod8241771pp/
Πολυμηχάνημα Samsung Laser SLM2070FW  Ασπρόμαυρο Laser A4SAMSUNG@Εγγύηση:  12 μήνες-Κατασκευαστής: SAMSUNG-Διπλή Όψη: Αυτόματη-Σάρωση: Optical: 1200 x 1200 dpi / Enhanced: 4800 x 4800 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 1200 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: Όχι@159,01@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-samsung-laser-slm2070fw-aspromayro-laser-a4/prod6290035pp/
Πολυμηχάνημα Canon Pixma TS8151  Έγχρωμο Inkjet Α4CANON@Εγγύηση:  12 μήνες-Κατασκευαστής: CANON-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 4800 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: 4800 x 1200 dpi@164,99@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-canon-pixma-ts8151-eghromo-inkjet-a4/prod8850116pp/
Samsung SF-760P - Ασπρόμαυρο Πολυμηχάνημα/Φαξ Laser A4SAMSUNG@Εγγύηση:  12 μήνες-Κατασκευαστής: SAMSUNG-Διπλή Όψη: Χειροκίνητη-Σάρωση: Optical: 600 x 600 dpi / Max: 4800 x 4800 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 1200 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: Όχι@178,99@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/samsung-sf-760p-aspromayro-polymihanimafaks-laser-a4/prod6880293pp/
Πολυμηχάνημα Epson L3060 ITS   Inkjet A4  WiFiEPSON@Εγγύηση:  12 μήνες-Κατασκευαστής: EPSON-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 5760 x 1440 dpi-Ανάλυση Έγχρωμης Εκτ.: 5760 x 1440 dpi@179,01@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-epson-l3060-its-inkjet-a4-wifi/prod8762029pp/
Πολυμηχάνημα Samsung Laser SLM2675FN  Ασπρόμαυρο  Laser A4SAMSUNG@Εγγύηση:  36 μήνες-Κατασκευαστής: SAMSUNG-Διπλή Όψη: Χειροκίνητη-Σάρωση: 4800 x 4800 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 4800 x 600 dpi-Δίκτυο: Ναι-Ανάλυση Έγχρωμης Εκτ.: Όχι@179,01@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-samsung-laser-slm2675fn-aspromayro-laser-a4/prod5120018pp/
Πολυμηχάνημα HP Officejet 7612 eAiO  Έγχρωμο Inkjet A3HP@Εγγύηση:  12 μήνες-Κατασκευαστής: HP-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Αυτόματη-Σάρωση: 600 x 1200 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 600 dpi x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: 4800 dpi x 1200 dpi@199@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-hp-officejet-7612-eaio-eghromo-inkjet-a3/prod6640240pp/
Πολυμηχάνημα Samsung Laser SLC480  Έγχρωμο  Laser A4SAMSUNG@Εγγύηση:  12 μήνες-Κατασκευαστής: SAMSUNG-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Χειροκίνητη-Σάρωση: 4800 dpi x 4800 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 2400 dpi x 600 dpi-Ανάλυση Έγχρωμης Εκτ.: 600 dpi x 600 dpi@215@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-samsung-laser-slc480-eghromo-laser-a4/prod8011349pp/
Πολυμηχάνημα Xerox WorkCenter 3225V DNI  Ασπρόμαυρο  Laser Α4XEROX@-Κατασκευαστής: XEROX-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Αυτόματη-Σάρωση: 1200 x 1200 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 600 x 600 dpi (4800 x 600 enhanced image quality)-Ανάλυση Έγχρωμης Εκτ.: Όχι@219@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-xerox-workcenter-3225v-dni-aspromayro-laser-a4/prod7600405pp/
Πολυμηχάνημα Samsung Laser SLM2875FD  Ασπρόμαυρο  Laser A4SAMSUNG@Εγγύηση:  36 μήνες-Κατασκευαστής: SAMSUNG-Διπλή Όψη: Αυτόματη-Σάρωση: 4800 x 4800 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 4800 x 600 dpi-Δίκτυο: Ναι-Ανάλυση Έγχρωμης Εκτ.: Όχι@225@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-samsung-laser-slm2875fd-aspromayro-laser-a4/prod5002053pp/
Πολυμηχάνημα HP LaserJet Pro MFP M130fw Ασπρόμαυρο  Laser Α4HP@-Κατασκευαστής: HP-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Χειροκίνητη-Σάρωση: 600 x 600 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 600 dpi x 600 dpi-Ανάλυση Έγχρωμης Εκτ.: Όχι@239@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-hp-laserjet-pro-mfp-m130fw-aspromayro-laser-a4/prod8241772pp/
Πολυμηχάνημα Samsung Laser SLC480W  Έγχρωμο  Laser A4SAMSUNG@Εγγύηση:  12 μήνες-Κατασκευαστής: SAMSUNG-Διπλή Όψη: Χειροκίνητη-Σάρωση: 4800 dpi x 4800 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 2400 dpi x 600 dpi-Ανάλυση Έγχρωμης Εκτ.: 600 dpi x 600 dpi@249@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-samsung-laser-slc480w-eghromo-laser-a4/prod8011347pp/
Πολυμηχάνημα Canon Pixma TS9150  Έγχρωμο Inkjet Α4CANON@Εγγύηση:  12 μήνες-Κατασκευαστής: CANON-Σάρωση: 2400 x 4800 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 4800 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: 4800 x 1200 dpi@255,01@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-canon-pixma-ts9150-eghromo-inkjet-a4/prod8850117pp/
Πολυμηχάνημα Epson L4150 ITS   Inkjet A4  WiFiEPSON@Εγγύηση:  12 μήνες-Κατασκευαστής: EPSON-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 5760 x 1440 dpi-Ανάλυση Έγχρωμης Εκτ.: 5760 x 1440 dpi@269,01@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-epson-l4150-its-inkjet-a4-wifi/prod8762030pp/
Πολυμηχάνημα Epson L3070 ITS   Inkjet A4  WiFiEPSON@Εγγύηση:  12 μήνες-Κατασκευαστής: EPSON-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 5760 x 1440 dpi-Ανάλυση Έγχρωμης Εκτ.: 5760 x 1440 dpi@274,99@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-epson-l3070-its-inkjet-a4-wifi/prod8762031pp/
Πολυμηχάνημα Samsung Laser SLC480FN  Έγχρωμο  Laser A4SAMSUNG@Εγγύηση:  12 μήνες-Κατασκευαστής: SAMSUNG-Διπλή Όψη: Χειροκίνητη-Σάρωση: 4800 dpi x 4800 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 2400 dpi x 600 dpi-Ανάλυση Έγχρωμης Εκτ.: 600 dpi x 600 dpi@279@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-samsung-laser-slc480fn-eghromo-laser-a4/prod8011345pp/
Πολυμηχάνημα Xerox WorkCenter 6025V BI  Έγχρωμο Laser Α4XEROX@-Κατασκευαστής: XEROX-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Χειροκίνητη-Σάρωση: 600 x 600 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 1200 x 2400 dpi-Ανάλυση Έγχρωμης Εκτ.: 1200 dpi x 2400 dpi@299@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-xerox-workcenter-6025v-bi-eghromo-laser-a4/prod7600397pp/
Πολυμηχάνημα Epson L565   InkjetEPSON@Εγγύηση:  12 μήνες-Κατασκευαστής: EPSON-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Χειροκίνητη-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 5760 dpi x 1440 dpi-Ανάλυση Έγχρωμης Εκτ.: 5760 dpi x 1440 dpi@319@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-epson-l565-inkjet/prod7590297pp/
Πολυμηχάνημα Epson L6160 ITS   Inkjet A4  WiFiEPSON@Εγγύηση:  12 μήνες-Κατασκευαστής: EPSON-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 4800 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: 4800 x 1200 dpi@364,99@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-epson-l6160-its-inkjet-a4-wifi/prod8762033pp/
Πολυμηχάνημα Xerox WorkCenter 3335V DNI  Ασπρόμαυρο  Laser Α4XEROX@Εγγύηση:  12 μήνες-Κατασκευαστής: XEROX-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Αυτόματη-Σάρωση: 600 x 600 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 600 x 600 dpi (1200 x 1200 enhanced image quality)-Ανάλυση Έγχρωμης Εκτ.: Όχι@398,99@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-xerox-workcenter-3335v-dni-aspromayro-laser-a4/prod8273829pp/
Πολυμηχάνημα Epson L6170 ITS   Inkjet A4  WiFiEPSON@Εγγύηση:  12 μήνες-Κατασκευαστής: EPSON-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 4800 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: 4800 x 1200 dpi@405@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-epson-l6170-its-inkjet-a4-wifi/prod8762034pp/
Πολυμηχάνημα Xerox WorkCenter 6027V NI  Έγχρωμο  Laser Α4XEROX@-Κατασκευαστής: XEROX-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Χειροκίνητη-Σάρωση: 600 x 600 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 1200 x 2400 dpi-Ανάλυση Έγχρωμης Εκτ.: 1200 x 2400 dpi@429@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-xerox-workcenter-6027v-ni-eghromo-laser-a4/prod7600396pp/
Πολυμηχάνημα Epson InkJet L850  Έγχρωμο Inkjet A4EPSON@Εγγύηση:  12 μήνες-Κατασκευαστής: EPSON-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Χειροκίνητη-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 5760 dpi x 1440 dpi-Ανάλυση Έγχρωμης Εκτ.: 5760 dpi x 1440 dpi@460@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-epson-inkjet-l850-eghromo-inkjet-a4/prod7261928pp/
Πολυμηχάνημα Xerox WorkCenter 3345V DNI  Ασπρόμαυρο  LaserXEROX@Εγγύηση:  12 μήνες-Κατασκευαστής: XEROX-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Αυτόματη-Σάρωση: 600 x 600 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 600 x 600 dpi (1200 x 1200 enhanced image quality)-Ανάλυση Έγχρωμης Εκτ.: Όχι@488,99@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-xerox-workcenter-3345v-dni-aspromayro-laser/prod8273830pp/
Πολυμηχάνημα Lexmark MX511de  Ασπρόμαυρο  Laser A4LEXMARK@Εγγύηση:  12 μήνες-Κατασκευαστής: LEXMARK-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Αυτόματη-Σάρωση: Β&W: 1200 X 600 dpi / CLR: 600 x 600 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 1200 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: Όχι@629,99@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-lexmark-mx511de-aspromayro-laser-a4/prod5850097pp/
Πολυμηχάνημα Έξυπνο Πακέτο GOODnBERG  HP LaserJet Pro M426FDW με ...HP@Εγγύηση:  36 μήνες-Κατασκευαστής: HP-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Αυτόματη-Σάρωση: 1200 x 1200 dpi-Ανάλυση Εκτύπωσης (ΑΜ): Έως 1.200 x 1200 dpi, HP FastRes 1200-Δίκτυο: Ethernet-Ανάλυση Έγχρωμης Εκτ.: Όχι@684@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-eksypno-paketo-goodnberg-hp-laserjet-pro-m426fdw-me-3-eti-eggyisi-and-toner-12100-selidon/prod8590671pp/
Πολυμηχάνημα Epson ITS L1455  Έγχρωμο  Inkjet A3EPSON@Εγγύηση:  12 μήνες-Κατασκευαστής: EPSON-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Αυτόματη-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 4800 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: 4800 x 1200 dpi@1159@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-epson-its-l1455-eghromo-inkjet-a3/prod8273364pp/
Πολυμηχάνημα Xerox DocuCentre SC2020  Έγχρωμο Laser Α3XEROX@Εγγύηση:  12 μήνες-Κατασκευαστής: XEROX-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Αυτόματη-Σάρωση: Monochrome and greyscale: 600 x 600 dpi  -   Colour, monochrome and greyscale: 400 x 400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 1200 x 2400 dpi-Ανάλυση Έγχρωμης Εκτ.: 1200 x 2400 dpi@1860@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-xerox-docucentre-sc2020-eghromo-laser-a3/prod8612129pp/
HP LaserJet Pro M15A Ασπρόμαυρος Εκτυπωτής Laser Α4HP@Εγγύηση:  12 μήνες-Κατασκευαστής: HP-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Όχι-Ανάλυση Εκτύπωσης (ΑΜ): 600 dpi x 600 dpi-Δίκτυο: Όχι-Ανάλυση Έγχρωμης Εκτ.: Όχι@59@https://www.public.gr/product/perifereiaka/printers/ektypotes/hp-laserjet-pro-m15a-aspromayros-ektypotis-laser-a4/prod9151218pp/
Εκτυπωτής Laser Samsung SLM2026  Ασπρόμαυρος A4SAMSUNG@Εγγύηση:  12 μήνες-Κατασκευαστής: SAMSUNG-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Χειροκίνητη-Ανάλυση Εκτύπωσης (ΑΜ): 1200 dpi x 1200 dpi-Δίκτυο: Δεν διατίθεται-Ανάλυση Έγχρωμης Εκτ.: Όχι@59,01@https://www.public.gr/product/perifereiaka/printers/ektypotes/ektypotis-laser-samsung-slm2026-aspromayros-a4/prod7510856pp/
Εκτυπωτής Laser Samsung SLM2026W  Ασύρματος Ασπρόμαυρος A4SAMSUNG@Εγγύηση:  12 μήνες-Κατασκευαστής: SAMSUNG-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Χειροκίνητη-Ανάλυση Εκτύπωσης (ΑΜ): 1200 dpi x 1200 dpi-Δίκτυο:  Wireless 802.11b/g/n-Ανάλυση Έγχρωμης Εκτ.: Όχι@74,9@https://www.public.gr/product/perifereiaka/printers/ektypotes/ektypotis-laser-samsung-slm2026w-asyrmatos-aspromayros-a4/prod7510844pp/
Έγχρωμος Εκτυπωτής Canon Pixma IP7250 Inkjet A4CANON@Εγγύηση:  12 μήνες-Κατασκευαστής: CANON-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Αυτόματη-Ανάλυση Εκτύπωσης (ΑΜ): 9600 x 2400 dpi-Δίκτυο: Όχι-Ανάλυση Έγχρωμης Εκτ.: 9600 x 2400 dpi@79@https://www.public.gr/product/perifereiaka/printers/ektypotes/eghromos-ektypotis-canon-pixma-ip7250-inkjet-a4/prod4060046pp/
HP LaserJet Pro M15W Ασύρματος Ασπρόμαυρος Εκτυπωτής Laser Α4HP@Εγγύηση:  12 μήνες-Κατασκευαστής: HP-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Όχι-Ανάλυση Εκτύπωσης (ΑΜ): 600 dpi x 600 dpi-Δίκτυο: Ασύρματο-Ανάλυση Έγχρωμης Εκτ.: Όχι@79@https://www.public.gr/product/perifereiaka/printers/ektypotes/hp-laserjet-pro-m15w-asyrmatos-aspromayros-ektypotis-laser-a4/prod9151219pp/
Φορητός φωτογραφικός εκτυπωτής HP Sprocket Z3Z91A ΛευκόςHP@-Κατασκευαστής: HP-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Χειροκίνητη@99@https://www.public.gr/product/perifereiaka/printers/ektypotes/foritos-fotografikos-ektypotis-hp-sprocket-z3z91a-leykos/prod8700910pp/
Φορητός φωτογραφικός εκτυπωτής Kodak Mobile Mini ΧρυσόςKODAK@Εγγύηση:  12 μήνες-Κατασκευαστής: KODAK-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Χειροκίνητη@99@https://www.public.gr/product/perifereiaka/printers/ektypotes/foritos-fotografikos-ektypotis-kodak-mobile-mini-hrysos/prod8680319pp/
Φορητός φωτογραφικός εκτυπωτής Kodak Mobile DochKODAK@Εγγύηση:  12 μήνες-Κατασκευαστής: KODAK-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Χειροκίνητη@99@https://www.public.gr/product/perifereiaka/printers/ektypotes/foritos-fotografikos-ektypotis-kodak-mobile-doch/prod8680314pp/
Φορητός φωτογραφικός εκτυπωτής Kodak Mobile Mini ΜαύροςKODAK@Εγγύηση:  12 μήνες-Κατασκευαστής: KODAK-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Χειροκίνητη@99@https://www.public.gr/product/perifereiaka/printers/ektypotes/foritos-fotografikos-ektypotis-kodak-mobile-mini-mayros/prod8680317pp/
