product_name @ features @ price @ link
Xiaomi Mi A2 Lite 64GB Μαύρο Dual Sim SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12+5 Megapixel AI Dual Camera f/2.2-Επεξεργαστής: Octa Core-Βάρος: 178 g-Dual SIM: Ναι@269,01@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-mi-a2-lite-64gb-mayro-dual-sim-smartphone/prod9480134pp/
Xiaomi Mi A2 Lite 64GB Χρυσό Dual Sim SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12+5 Megapixel AI Dual Camera f/2.2-Επεξεργαστής: Octa Core-Βάρος: 178 g-Dual SIM: Ναι@269,01@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-mi-a2-lite-64gb-hryso-dual-sim-smartphone/prod9480138pp/
Xiaomi Mi A2 Lite 64GB Μπλε Dual Sim SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12+5 Megapixel AI Dual Camera f/2.2-Επεξεργαστής: Octa Core-Βάρος: 178 g-Dual SIM: Ναι@269,01@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-mi-a2-lite-64gb-mple-dual-sim-smartphone/prod9480140pp/
Xiaomi Mi 8 Lite Dual Sim 64GB Μπλε 4G SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: Dual 12 Megapixel f/1.9, 1.4µm και Dual Pixel PDAF & 5 Megapixel f/2.0 dual Pixel Autofocus-Επεξεργαστής: Octa Core-Βάρος: 169 g-Dual SIM: Ναι@329@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-mi-8-lite-dual-sim-64gb-mple-4g-smartphone/prod9471305pp/
Xiaomi Mi 8 Lite Dual Sim 64GB Μαύρο 4G SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: Dual 12 Megapixel f/1.9, 1.4µm και Dual Pixel PDAF & 5 Megapixel f/2.0 dual Pixel Autofocus-Επεξεργαστής: Octa Core-Βάρος: 169 g-Dual SIM: Ναι@329@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-mi-8-lite-dual-sim-64gb-mayro-4g-smartphone/prod9470737pp/
Fluo Ζ 64GB Dual Sim Κόκκινο - 45G SmartphoneFLUO@Εγγύηση:  24 μήνες-Κατασκευαστής: FLUO-Δίκτυο: 4,5G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 16 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 134 g-Dual SIM: Ναι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/fluo-z-64gb-dual-sim-kokkino-45g-smartphone/prod9149601pp/
Alcatel U5 8GB Dual Sim Λευκό/Γκρι - SmartphoneALCATEL@Εγγύηση:  24 μήνες-Κατασκευαστής: ALCATEL-Δίκτυο: 3G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1 GB-Κάμερα: 5 Megapixel-Επεξεργαστής: Quad Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@69,9@https://www.public.gr/product/tilefonia/kinita-smartphones/alcatel-u5-8gb-dual-sim-leykogkri-smartphone/prod9451259pp/
Meizu M6T 16GB Χρυσό 4G SmartphoneMEIZU@Εγγύηση:  24 μήνες-Κατασκευαστής: MEIZU-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 145 g-Dual SIM: Ναι@129@https://www.public.gr/product/tilefonia/kinita-smartphones/meizu-m6t-16gb-hryso-4g-smartphone/prod9440095pp/
Meizu M6T 16GB Μπλε 4G SmartphoneMEIZU@Εγγύηση:  24 μήνες-Κατασκευαστής: MEIZU-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 145 g-Dual SIM: Ναι@129@https://www.public.gr/product/tilefonia/kinita-smartphones/meizu-m6t-16gb-mple-4g-smartphone/prod9440094pp/
Meizu M6T 16GB Μαύρο 4G SmartphoneMEIZU@Εγγύηση:  24 μήνες-Κατασκευαστής: MEIZU-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 145 g-Dual SIM: Ναι@129@https://www.public.gr/product/tilefonia/kinita-smartphones/meizu-m6t-16gb-mayro-4g-smartphone/prod9440093pp/
Meizu M6T 32GB Χρυσό 4G SmartphoneMEIZU@Εγγύηση:  24 μήνες-Κατασκευαστής: MEIZU-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 145 g-Dual SIM: Ναι@149@https://www.public.gr/product/tilefonia/kinita-smartphones/meizu-m6t-32gb-hryso-4g-smartphone/prod9440098pp/
Meizu M6T 32GB Μπλε 4G SmartphoneMEIZU@Εγγύηση:  24 μήνες-Κατασκευαστής: MEIZU-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 145 g-Dual SIM: Ναι@149@https://www.public.gr/product/tilefonia/kinita-smartphones/meizu-m6t-32gb-mple-4g-smartphone/prod9440097pp/
Meizu M6T 32GB Μαύρο 4G SmartphoneMEIZU@Εγγύηση:  24 μήνες-Κατασκευαστής: MEIZU-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 145 g-Dual SIM: Ναι@149@https://www.public.gr/product/tilefonia/kinita-smartphones/meizu-m6t-32gb-mayro-4g-smartphone/prod9440096pp/
Meizu 16th Dual Sim 128GB Μαύρο 4G SmartphoneMEIZU@Εγγύηση:  24 μήνες-Κατασκευαστής: MEIZU-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 8 GB-Κάμερα: Dual 20 Megapixel f/2.6 & 12 Megapixel  f/1.8-Επεξεργαστής: Octa Core-Βάρος: 152 gr-Dual SIM: Ναι@699@https://www.public.gr/product/tilefonia/kinita-smartphones/meizu-16th-dual-sim-128gb-mayro-4g-smartphone/prod9440100pp/
Xiaomi Redmi 6 32GB Χρυσό SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: Οχι -Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 12 MP (f / 2.2, PDAF) & 5 MP (f / 2.2, without AF, depth sensor)-Επεξεργαστής: Octa Core-Βάρος: 146 g-Dual SIM: Οχι@178,99@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-6-32gb-hryso-smartphone/prod9310130pp/
Xiaomi Redmi 6A 32GB Dual Sim Μαύρο SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel, f/2.2, phase detection autofocus-Επεξεργαστής: Quad Core-Βάρος: 145 g-Dual SIM: Ναι@149@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-6a-32gb-dual-sim-mayro-smartphone/prod9310132pp/
Huawei Mate 20 Pro 128GB Dual Sim Twilight SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 6 GB-Κάμερα: 40 MP (έγχρωμη) + 20 MP (έγχρωμη) + 8 MP (έγχρωμη), διάφραγμα F/1.8 + F2.2 + F2.4, υποστηρίζει αυτόματη εστίαση (βαθιά εστίαση, εστίαση φάσης, εστίαση αντίθεσης, εστίαση με λέιζερ-Επεξεργαστής: Octa Core-Βάρος: 189 g-Dual SIM: Ναι@1049@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-mate-20-pro-128gb-dual-sim-twilight-smartphone/prod9422481pp/
Apple iPhone XS Max 64GB Space Grey 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4GB-Κάμερα: 12 Megapixel Dual Camera f1.8 (Telephoto: f/2.4) με Dual OIS-Επεξεργαστής: Hexa Core-Βάρος: 208 g-Dual SIM: Όχι@1339@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xs-max-64gb-space-grey-4g-smartphone/prod9324085pp/
Huawei Y5 2018 16GB Μαύρο Dual Sim 4G SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 142 g-Dual SIM: Ναι@129@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-y5-2018-16gb-mayro-dual-sim-4g-smartphone/prod9092151pp/
Huawei Mate 20 Lite 64GB Μαύρο 4G Dual Sim SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 24Megapixel + 2 Megapixel-Επεξεργαστής: Octa Core@398,99@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-mate-20-lite-64gb-mayro-4g-dual-sim-smartphone/prod9321114pp/
Xiaomi Redmi Note 6 Pro 32GB Rose Gold SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 12 Megapixel & 5 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 181 g-Dual SIM: Ναι@259@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-note-6-pro-32gb-rose-gold-smartphone/prod9420228pp/
Xiaomi Redmi Note 6 Pro 32GB Μαύρο  SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 12 Megapixel & 5 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 181 g-Dual SIM: Ναι@259@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-note-6-pro-32gb-mayro-smartphone/prod9420226pp/
Xiaomi Redmi Note 6 Pro 32GB Μπλε SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 12 Megapixel & 5 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 181 g-Dual SIM: Ναι@259@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-note-6-pro-32gb-mple-smartphone/prod9420227pp/
Xiaomi Redmi Note 6 Pro 64GB Μαύρο SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12 Megapixel & 5 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 181 g-Dual SIM: Ναι@288,99@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-note-6-pro-64gb-mayro-smartphone/prod9420229pp/
Xiaomi Redmi Note 6 Pro 64GB Rose Gold SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12 Megapixel & 5 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 181 g-Dual SIM: Ναι@288,99@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-note-6-pro-64gb-rose-gold-smartphone/prod9420230pp/
Xiaomi Redmi Note 6 Pro 64GB Μπλε  SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12 Megapixel & 5 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 181 g-Dual SIM: Ναι@288,99@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-note-6-pro-64gb-mple-smartphone/prod9420231pp/
Nokia 7.1  Dual Sim Mπλε 4G SmartphoneNOKIA@Εγγύηση:  24 μήνες-Κατασκευαστής: NOKIA-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB -Κάμερα: 12 MP 2PD/AF/f 1,8/1,28 um, δευτερεύουσα: 5 MP, BW/FF/f 2.4/1,12 um-Επεξεργαστής: Octa Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@398,99@https://www.public.gr/product/tilefonia/kinita-smartphones/nokia-71-dual-sim-mple-4g-smartphone/prod9420233pp/
Apple iPhone XS Max 256GB Gold 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 256 GB-Μνήμη RAM: 4GB-Κάμερα: 12 Megapixel Dual Camera f1.8 (Telephoto: f/2.4) με Dual OIS-Επεξεργαστής: Hexa Core-Βάρος: 208 g-Dual SIM: Όχι@1539@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xs-max-256gb-gold-4g-smartphone/prod9324090pp/
Xiaomi Redmi 6A 32GB Dual Sim Χρυσό SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel, f/2.2, phase detection autofocus-Επεξεργαστής: Quad Core-Βάρος: 145 g-Dual SIM: Ναι@149@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-6a-32gb-dual-sim-hryso-smartphone/prod9310133pp/
Samsung Galaxy J4+ 32GB Χρυσό SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Χωρητικότητα: 32 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 178 g-Dual SIM: Ναι@189@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-j4-plus-32gb-hryso-smartphone/prod9360555pp/
Samsung Galaxy J4+ 32GB Ροζ SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Χωρητικότητα: 32 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 178 g-Dual SIM: Ναι@189@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-j4-plus-32gb-roz-smartphone/prod9360556pp/
Samsung Galaxy J4+ 32GB Μαύρο SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Χωρητικότητα: 32 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 178 g-Dual SIM: Ναι@189@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-j4-plus-32gb-mayro-smartphone/prod9360554pp/
Huawei Y6 2018 16GB Μπλε Dual Sim 4G SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 150 g-Dual SIM: Ναι@149@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-y6-2018-16gb-mple-dual-sim-4g-smartphone/prod9092154pp/
Huawei Y7 Prime 2018 32GB Μπλε Dual Sim 4G SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 & 2 Megapixel Dual Camera-Επεξεργαστής: Octa Core-Βάρος: 155 g-Dual SIM: Ναι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-y7-prime-2018-32gb-mple-dual-sim-4g-smartphone/prod9092160pp/
Motorola Moto E5 Plus 16GB Dual Sim 4G Γκρι SmartphoneMOTOROLA@Εγγύηση:  24 μήνες-Κατασκευαστής: MOTOROLA-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 12 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 197 g-Dual SIM: Ναι@179,99@https://www.public.gr/product/tilefonia/kinita-smartphones/motorola-moto-e5-plus-16gb-dual-sim-4g-gkri-smartphone/prod9340451pp/
Motorola Moto G6 Play 4G Dual Sim ΜπλεMOTOROLA@Εγγύηση:  24 μήνες-Κατασκευαστής: MOTOROLA-Δίκτυο: 4G-Χωρητικότητα: 3 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 154 g-Dual SIM: Ναι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/motorola-moto-g6-play-4g-dual-sim-mple/prod9340452pp/
Apple iPhone XR 64GB Red 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Επεξεργαστής: Hexa Core-Βάρος: 194 g-Dual SIM: Όχι@929@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-64gb-red-4g-smartphone/prod9330271pp/
Apple iPhone XR 128GB Red 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Επεξεργαστής: Hexa Core-Βάρος: 194 g-Dual SIM: Όχι@999,01@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-128gb-red-4g-smartphone/prod9330272pp/
Apple iPhone XR 256GB Red 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 256 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Επεξεργαστής: Hexa Core-Βάρος: 194 g-Dual SIM: Όχι@1119@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-256gb-red-4g-smartphone/prod9330273pp/
Apple iPhone XR 64GB White 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Επεξεργαστής: Hexa Core-Βάρος: 194 g-Dual SIM: Όχι@929@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-64gb-white-4g-smartphone/prod9324094pp/
Apple iPhone XR 64GB Coral 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@929@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-64gb-coral-4g-smartphone/prod9324097pp/
Apple iPhone XR 64GB Yellow 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@929@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-64gb-yellow-4g-smartphone/prod9324098pp/
Apple iPhone XR 64GB Black 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@929@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-64gb-black-4g-smartphone/prod9324095pp/
Apple iPhone XR 64GB Blue 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@929@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-64gb-blue-4g-smartphone/prod9324096pp/
Apple iPhone XR 128GB Blue 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@999,01@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-128gb-blue-4g-smartphone/prod9324106pp/
Apple iPhone XR 128GB Yellow 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@999,01@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-128gb-yellow-4g-smartphone/prod9324108pp/
Apple iPhone XR 128GB Coral 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@999,01@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-128gb-coral-4g-smartphone/prod9324107pp/
Apple iPhone XR 128GB Black 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@999,01@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-128gb-black-4g-smartphone/prod9324105pp/
Apple iPhone XR 256GB Yellow 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 256 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@1119@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-256gb-yellow-4g-smartphone/prod9324103pp/
Apple iPhone XR 256GB Coral 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 256 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@1119@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-256gb-coral-4g-smartphone/prod9324102pp/
Apple iPhone XR 256GB White 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 256 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@1119@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-256gb-white-4g-smartphone/prod9324099pp/
Apple iPhone XR 256GB Black 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 256 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@1119@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-256gb-black-4g-smartphone/prod9324100pp/
Apple iPhone XR 256GB Blue 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 256 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@1119@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-256gb-blue-4g-smartphone/prod9324101pp/
Apple iPhone XS 64GB Gold 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4GB-Κάμερα: 12 Megapixel Dual Camera f1.8 (Telephoto: f/2.4) με Dual OIS-Επεξεργαστής: Hexa Core-Βάρος: 177 g-Dual SIM: Όχι@1229@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xs-64gb-gold-4g-smartphone/prod9324078pp/
Apple iPhone XS 64GB Silver 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4GB-Κάμερα: 12 Megapixel Dual Camera f1.8 (Telephoto: f/2.4) με Dual OIS-Επεξεργαστής: Hexa Core-Βάρος: 177 g-Dual SIM: Όχι@1229@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xs-64gb-silver-4g-smartphone/prod9324077pp/
Apple iPhone XS Max 64GB Silver 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4GB-Κάμερα: 12 Megapixel Dual Camera f1.8 (Telephoto: f/2.4) με Dual OIS-Επεξεργαστής: Hexa Core-Βάρος: 208 g-Dual SIM: Όχι@1339@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xs-max-64gb-silver-4g-smartphone/prod9324086pp/
Apple iPhone XS Max 64GB Gold 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4GB-Κάμερα: 12 Megapixel Dual Camera f1.8 (Telephoto: f/2.4) με Dual OIS-Βάρος: 208 g-Dual SIM: Όχι@1339@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xs-max-64gb-gold-4g-smartphone/prod9324087pp/
